name,ngram,score_1,score_2,score_3
IPSEN,IPSEN,1,18,9
PEPTIMIMESIS,PEPTIMIMESIS,1,1,1
MERSEN,MERSEN,1,22,2
BANQUE PALATINE,BANQUE,19,4,641
BANQUE PALATINE,PALATINE,2,4,2
BANQUE PALATINE,BANQUE PALATINE,-1,4,2
SPIE OPERATIONS,SPIE,9,59,50
SPIE OPERATIONS,OPERATIONS,3,8,898
SPIE OPERATIONS,SPIE OPERATIONS,-1,0,0
ENGIE,ENGIE,7,111,74
VALEO,VALEO,1,23,8
MSD VACCINS,MSD,2,1,4
MSD VACCINS,VACCINS,1,1,28
MSD VACCINS,MSD VACCINS,-1,1,0
IDI,IDI,6,6,916
GROUPE WINNCARE,GROUPE,58,1,7128
GROUPE WINNCARE,WINNCARE,1,1,1
GROUPE WINNCARE,GROUPE WINNCARE,-1,1,1
HAULOTTE GROUP,HAULOTTE,1,10,0
HAULOTTE GROUP,GROUP,123,10,7344
HAULOTTE GROUP,HAULOTTE GROUP,-1,10,0
GL EVENTS,GL,12,20,2348
GL EVENTS,EVENTS,2,20,18
GL EVENTS,GL EVENTS,-1,20,5
SAFT GROUPE SA,SAFT,2,13,8
SAFT GROUPE SA,GROUPE,58,7,7122
SAFT GROUPE SA,SAFT GROUPE,-1,0,2
TRANSGENE,TRANSGENE,1,7,0
SANOFI,SANOFI,3,53,34
CARREFOUR,CARREFOUR,3,39,56
ILIAD,ILIAD,1,17,17
CHARGEURS,CHARGEURS,2,22,14
BOURBON CORPORATION,BOURBON,1,18,17
BOURBON CORPORATION,CORPORATION,2,0,107
BOURBON CORPORATION,BOURBON CORPORATION,-1,0,0
ALTRAN TECHNOLOGIES,ALTRAN,1,36,11
ALTRAN TECHNOLOGIES,TECHNOLOGIES,25,6,768
ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,-1,1,3
CREDIXIA,CREDIXIA,1,1,0
GAUMONT,GAUMONT,2,5,6
FINANCIERE DE L'ECHIQUIER,FINANCIERE,17,13,1606
FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1,13,16
FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,-1,0,0
ERAAM,ERAAM,1,1,2
IENA VENTURE,IENA,1,1,6
IENA VENTURE,VENTURE,11,1,242
IENA VENTURE,IENA VENTURE,-1,1,2
REALITES PROMOTION,REALITES,3,12,13
REALITES PROMOTION,PROMOTION,4,0,237
REALITES PROMOTION,REALITES PROMOTION,-1,0,0
DAMARTEX,DAMARTEX,1,18,1
NEURONES,NEURONES,1,14,2
ALTAREA,ALTAREA,1,8,6
PSB INDUSTRIES,PSB,2,10,5
PSB INDUSTRIES,INDUSTRIES,9,10,175
PSB INDUSTRIES,PSB INDUSTRIES,-1,10,3
SOMFY SA,SOMFY,2,6,17
MR BRICOLAGE,MR,2,7,75
MR BRICOLAGE,BRICOLAGE,1,9,31
MR BRICOLAGE,MR BRICOLAGE,-1,4,1
AIRBUS DEFENCE AND SPACE SAS,AIRBUS,4,3,99
AIRBUS DEFENCE AND SPACE SAS,DEFENCE,1,2,19
AIRBUS DEFENCE AND SPACE SAS,AND,30,3,5051
AIRBUS DEFENCE AND SPACE SAS,SPACE,10,3,267
AIRBUS DEFENCE AND SPACE SAS,SAS,96,0,169
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE,-1,2,11
AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND,-1,0,1
AIRBUS DEFENCE AND SPACE SAS,AIRBUS SPACE,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND,-1,1,8
AIRBUS DEFENCE AND SPACE SAS,DEFENCE SPACE,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,DEFENCE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AND SPACE,-1,1,10
AIRBUS DEFENCE AND SPACE SAS,AND SAS,-1,0,6
AIRBUS DEFENCE AND SPACE SAS,SPACE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND,-1,1,6
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SPACE,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SPACE,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SAS,-1,0,1
AIRBUS DEFENCE AND SPACE SAS,AIRBUS SPACE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SPACE,-1,1,8
AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,DEFENCE SPACE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AND SPACE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND SPACE,-1,1,6
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SPACE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SPACE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SPACE SAS,-1,0,0
AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND SPACE SAS,-1,0,0
RUBIS,RUBIS,1,20,2
GROUPE ACTIPLAY,GROUPE,58,8,7121
GROUPE ACTIPLAY,ACTIPLAY,1,5,0
GROUPE ACTIPLAY,GROUPE ACTIPLAY,-1,4,0
1000MERCIS,MERCIS,1,11,0
EULER HERMES GROUP,EULER,1,18,3
EULER HERMES GROUP,HERMES,3,18,36
EULER HERMES GROUP,GROUP,123,12,7342
EULER HERMES GROUP,EULER HERMES,-1,18,3
EULER HERMES GROUP,EULER GROUP,-1,0,0
EULER HERMES GROUP,HERMES GROUP,-1,1,1
EULER HERMES GROUP,EULER HERMES GROUP,-1,1,1
LAGARDERE SCA,LAGARDERE,5,13,33
LAGARDERE SCA,SCA,15,1,623
LAGARDERE SCA,LAGARDERE SCA,-1,1,0
CREDIT AGRICOLE SA,CREDIT,23,26,824
CREDIT AGRICOLE SA,AGRICOLE,11,26,227
CREDIT AGRICOLE SA,CREDIT AGRICOLE,-1,26,157
"CASINO, GUICHARD-PERRACHON",CASINO,3,33,57
"CASINO, GUICHARD-PERRACHON",GUICHARD,1,0,1
"CASINO, GUICHARD-PERRACHON",PERRACHON,1,0,0
"CASINO, GUICHARD-PERRACHON",CASINO GUICHARD,-1,0,0
"CASINO, GUICHARD-PERRACHON",CASINO PERRACHON,-1,0,0
"CASINO, GUICHARD-PERRACHON",GUICHARD PERRACHON,-1,0,0
"CASINO, GUICHARD-PERRACHON",CASINO GUICHARD PERRACHON,-1,0,0
SAMSE,SAMSE,1,7,4
ARGOS WITYU,ARGOS,1,2,5
ARGOS WITYU,WITYU,1,0,0
ARGOS WITYU,ARGOS WITYU,-1,0,0
ORANGE,ORANGE,5,47,77
ORANGE CYBERDEFENSE,ORANGE,5,2,122
ORANGE CYBERDEFENSE,CYBERDEFENSE,1,2,8
ORANGE CYBERDEFENSE,ORANGE CYBERDEFENSE,-1,2,6
NATIXIS,NATIXIS,8,25,115
TOUPARGEL,TOUPARGEL,1,14,1
NSC GROUPE,NSC,2,7,1081
NSC GROUPE,GROUPE,58,7,7122
NSC GROUPE,NSC GROUPE,-1,6,0
DEVOTEAM,DEVOTEAM,1,12,2
CNIM GROUPE,CNIM,4,17,17
CNIM GROUPE,GROUPE,58,16,7113
CNIM GROUPE,CNIM GROUPE,-1,0,0
CS GROUP,CS,36,15,932
CS GROUP,GROUP,123,13,7341
CS GROUP,CS GROUP,-1,2,2
ALTEO HOLDING,ALTEO,2,2,3
ALTEO HOLDING,HOLDING,39,0,272
ALTEO HOLDING,ALTEO HOLDING,-1,0,0
AMOEBA,AMOEBA,1,13,0
BEL,BEL,9,13,1042
SANGAMO THERAPEUTICS FRANCE,SANGAMO,1,1,0
SANGAMO THERAPEUTICS FRANCE,THERAPEUTICS,5,1,28
SANGAMO THERAPEUTICS FRANCE,FRANCE,265,0,2878
SANGAMO THERAPEUTICS FRANCE,SANGAMO THERAPEUTICS,-1,1,0
SANGAMO THERAPEUTICS FRANCE,SANGAMO FRANCE,-1,0,0
SANGAMO THERAPEUTICS FRANCE,THERAPEUTICS FRANCE,-1,0,0
SANGAMO THERAPEUTICS FRANCE,SANGAMO THERAPEUTICS FRANCE,-1,0,0
COULEURS DE PLANTES,COULEURS,1,1,32
COULEURS DE PLANTES,PLANTES,1,1,48
COULEURS DE PLANTES,COULEURS PLANTES,-1,0,0
PLANT ADVANCED TECHNOLOGIES PAT,PLANT,3,13,547
PLANT ADVANCED TECHNOLOGIES PAT,ADVANCED,3,12,27
PLANT ADVANCED TECHNOLOGIES PAT,TECHNOLOGIES,25,12,762
PLANT ADVANCED TECHNOLOGIES PAT,PAT,27,13,2121
PLANT ADVANCED TECHNOLOGIES PAT,PLANT ADVANCED,-1,12,2
PLANT ADVANCED TECHNOLOGIES PAT,PLANT TECHNOLOGIES,-1,0,0
PLANT ADVANCED TECHNOLOGIES PAT,PLANT PAT,-1,0,0
PLANT ADVANCED TECHNOLOGIES PAT,ADVANCED TECHNOLOGIES,-1,12,4
PLANT ADVANCED TECHNOLOGIES PAT,ADVANCED PAT,-1,0,0
PLANT ADVANCED TECHNOLOGIES PAT,TECHNOLOGIES PAT,-1,2,1
PLANT ADVANCED TECHNOLOGIES PAT,PLANT ADVANCED TECHNOLOGIES,-1,12,2
PLANT ADVANCED TECHNOLOGIES PAT,PLANT ADVANCED PAT,-1,0,0
PLANT ADVANCED TECHNOLOGIES PAT,PLANT TECHNOLOGIES PAT,-1,0,0
PLANT ADVANCED TECHNOLOGIES PAT,ADVANCED TECHNOLOGIES PAT,-1,2,1
PLANT ADVANCED TECHNOLOGIES PAT,PLANT ADVANCED TECHNOLOGIES PAT,-1,2,1
HARVEST,HARVEST,1,11,1
VOISIN,VOISIN,1,1,115
THERADIAG SA.,THERADIAG,1,14,1
VIADEO,VIADEO,1,3,2
GENKYOTEX,GENKYOTEX,1,1,0
INTERPARFUMS,INTERPARFUMS,1,12,0
FREY,FREY,1,4,15
AUCHAN HOLDING,AUCHAN,3,6,21
AUCHAN HOLDING,HOLDING,39,1,271
AUCHAN HOLDING,AUCHAN HOLDING,-1,1,0
SAFRAN,SAFRAN,9,46,80
NANOBIOTIX,NANOBIOTIX,1,16,1
NEXITY BLUE OFFICE,NEXITY,2,1,28
NEXITY BLUE OFFICE,BLUE,6,1,98
NEXITY BLUE OFFICE,OFFICE,3,1,194
NEXITY BLUE OFFICE,NEXITY BLUE,-1,0,0
NEXITY BLUE OFFICE,NEXITY OFFICE,-1,0,0
NEXITY BLUE OFFICE,BLUE OFFICE,-1,1,0
NEXITY BLUE OFFICE,NEXITY BLUE OFFICE,-1,0,0
ORCHESTRA-PREMAMAN,ORCHESTRA,2,22,10
ORCHESTRA-PREMAMAN,PREMAMAN,1,21,1
ORCHESTRA-PREMAMAN,ORCHESTRA PREMAMAN,-1,4,1
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE,78,1,7593
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE,17,1,1618
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,EUROP,21,1,2206
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,PRISE,5,1,3381
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,PARTICIPAT,10,1,992
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE EUROP,-1,0,8
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE PRISE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE EUROP,-1,1,1
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE PRISE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,EUROP PRISE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,EUROP PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,PRISE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE EUROP,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE PRISE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE EUROP PRISE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE EUROP PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE PRISE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE EUROP PRISE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE EUROP PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE PRISE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,EUROP PRISE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE EUROP PRISE,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE EUROP PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE PRISE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE EUROP PRISE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,FINANCIERE EUROP PRISE PARTICIPAT,-1,0,0
CIE FINANCIERE EUROP PRISE DE PARTICIPAT,CIE FINANCIERE EUROP PRISE PARTICIPAT,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE,1,17,118
MARIE BRIZARD WINE AND SPIRITS,BRIZARD,1,17,2
MARIE BRIZARD WINE AND SPIRITS,WINE,1,17,10
MARIE BRIZARD WINE AND SPIRITS,AND,30,10,5044
MARIE BRIZARD WINE AND SPIRITS,SPIRITS,1,17,4
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD,-1,17,2
MARIE BRIZARD WINE AND SPIRITS,MARIE WINE,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE AND,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,BRIZARD WINE,-1,16,2
MARIE BRIZARD WINE AND SPIRITS,BRIZARD AND,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,BRIZARD SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,WINE AND,-1,2,0
MARIE BRIZARD WINE AND SPIRITS,WINE SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,AND SPIRITS,-1,2,0
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD WINE,-1,16,2
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD AND,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE WINE AND,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE WINE SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE AND SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,BRIZARD WINE AND,-1,2,0
MARIE BRIZARD WINE AND SPIRITS,BRIZARD WINE SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,BRIZARD AND SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,WINE AND SPIRITS,-1,2,0
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD WINE AND,-1,2,0
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD WINE SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD AND SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,MARIE WINE AND SPIRITS,-1,0,0
MARIE BRIZARD WINE AND SPIRITS,BRIZARD WINE AND SPIRITS,-1,2,0
MARIE BRIZARD WINE AND SPIRITS,MARIE BRIZARD WINE AND SPIRITS,-1,2,0
BNP PARIBAS,BNP,12,49,180
BNP PARIBAS,PARIBAS,12,49,153
BNP PARIBAS,BNP PARIBAS,-1,49,150
FAURECIA,FAURECIA,3,47,30
MANUSEC,MANUSEC,1,1,0
PRECIA,PRECIA,2,20,276
QUANTUM GENOMICS,QUANTUM,2,4,18
QUANTUM GENOMICS,GENOMICS,1,4,0
QUANTUM GENOMICS,QUANTUM GENOMICS,-1,4,0
COGRA QUARANTE HUIT,COGRA,1,14,0
ALSTOM HOLDINGS,ALSTOM,3,67,31
ALSTOM HOLDINGS,HOLDINGS,2,1,31
ALSTOM HOLDINGS,ALSTOM HOLDINGS,-1,0,0
ELIOR PARTICIPATIONS,ELIOR,3,18,1832
ELIOR PARTICIPATIONS,PARTICIPATIONS,9,0,171
ELIOR PARTICIPATIONS,ELIOR PARTICIPATIONS,-1,0,0
LA FRANCAISE DE L'ENERGIE,FRANCAISE,9,15,658
LA FRANCAISE DE L'ENERGIE,ENERGIE,10,15,669
LA FRANCAISE DE L'ENERGIE,FRANCAISE ENERGIE,-1,1,0
HEOH,HEOH,1,1,0
TONNELLERIE FRANCOIS FRERES,TONNELLERIE,2,6,3
TONNELLERIE FRANCOIS FRERES,FRANCOIS,2,3,160
TONNELLERIE FRANCOIS FRERES,FRERES,5,2,15
TONNELLERIE FRANCOIS FRERES,TONNELLERIE FRANCOIS,-1,0,0
TONNELLERIE FRANCOIS FRERES,TONNELLERIE FRERES,-1,0,0
TONNELLERIE FRANCOIS FRERES,FRANCOIS FRERES,-1,2,0
TONNELLERIE FRANCOIS FRERES,TONNELLERIE FRANCOIS FRERES,-1,0,0
SUPERSONIC IMAGINE,SUPERSONIC,1,16,1
SUPERSONIC IMAGINE,IMAGINE,1,16,24
SUPERSONIC IMAGINE,SUPERSONIC IMAGINE,-1,16,1
S.A. CARPINIENNE DE PARTICIPATIONS,CARPINIENNE,1,1,0
S.A. CARPINIENNE DE PARTICIPATIONS,PARTICIPATIONS,9,1,170
S.A. CARPINIENNE DE PARTICIPATIONS,CARPINIENNE PARTICIPATIONS,-1,0,0
IMMOBILIERE DASSAULT SA,IMMOBILIERE,4,7,131
IMMOBILIERE DASSAULT SA,DASSAULT,3,7,61
IMMOBILIERE DASSAULT SA,IMMOBILIERE DASSAULT,-1,7,0
TN INTERNATIONAL,TN,29,1,487
TN INTERNATIONAL,INTERNATIONAL,35,0,1742
TN INTERNATIONAL,TN INTERNATIONAL,-1,0,0
F.MARC DE LACHARRIERE ( FIMALAC),MARC,3,4,4060
F.MARC DE LACHARRIERE ( FIMALAC),LACHARRIERE,1,2,1
F.MARC DE LACHARRIERE ( FIMALAC),FIMALAC,1,6,5
F.MARC DE LACHARRIERE ( FIMALAC),MARC LACHARRIERE,-1,0,0
F.MARC DE LACHARRIERE ( FIMALAC),MARC FIMALAC,-1,0,0
F.MARC DE LACHARRIERE ( FIMALAC),LACHARRIERE FIMALAC,-1,0,0
F.MARC DE LACHARRIERE ( FIMALAC),MARC LACHARRIERE FIMALAC,-1,0,0
STE PRODUITS MARNIER LAPOSTOLLE,STE,43,2,5447
STE PRODUITS MARNIER LAPOSTOLLE,PRODUITS,4,1,1776
STE PRODUITS MARNIER LAPOSTOLLE,MARNIER,1,4,5
STE PRODUITS MARNIER LAPOSTOLLE,LAPOSTOLLE,1,3,1
STE PRODUITS MARNIER LAPOSTOLLE,STE PRODUITS,-1,0,0
STE PRODUITS MARNIER LAPOSTOLLE,STE MARNIER,-1,0,0
STE PRODUITS MARNIER LAPOSTOLLE,STE LAPOSTOLLE,-1,1,0
STE PRODUITS MARNIER LAPOSTOLLE,PRODUITS MARNIER,-1,1,0
STE PRODUITS MARNIER LAPOSTOLLE,PRODUITS LAPOSTOLLE,-1,0,0
STE PRODUITS MARNIER LAPOSTOLLE,MARNIER LAPOSTOLLE,-1,1,0
STE PRODUITS MARNIER LAPOSTOLLE,STE PRODUITS MARNIER,-1,0,0
STE PRODUITS MARNIER LAPOSTOLLE,STE PRODUITS LAPOSTOLLE,-1,0,0
STE PRODUITS MARNIER LAPOSTOLLE,STE MARNIER LAPOSTOLLE,-1,0,0
STE PRODUITS MARNIER LAPOSTOLLE,PRODUITS MARNIER LAPOSTOLLE,-1,1,0
STE PRODUITS MARNIER LAPOSTOLLE,STE PRODUITS MARNIER LAPOSTOLLE,-1,0,0
DELTA DRONE,DELTA,2,26,36
DELTA DRONE,DRONE,8,26,86
DELTA DRONE,DELTA DRONE,-1,26,10
ASSYSTEM,ASSYSTEM,1,33,22
FILAE,FILAE,1,6,5
ESI GROUP,ESI,7,18,2510
ESI GROUP,GROUP,123,18,7336
ESI GROUP,ESI GROUP,-1,18,2
GENERIX GROUP FRANCE,GENERIX,1,23,0
GENERIX GROUP FRANCE,GROUP,123,18,7336
GENERIX GROUP FRANCE,FRANCE,265,2,2876
GENERIX GROUP FRANCE,GENERIX GROUP,-1,13,0
GENERIX GROUP FRANCE,GENERIX FRANCE,-1,0,0
GENERIX GROUP FRANCE,GROUP FRANCE,-1,1,0
GENERIX GROUP FRANCE,GENERIX GROUP FRANCE,-1,1,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS,8,4,136
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,INVESTMENT,15,2,216
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,MANAGERS,8,1,119
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,INTERNATIONAL,35,1,1741
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS INVESTMENT,-1,1,20
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS MANAGERS,-1,0,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS INTERNATIONAL,-1,0,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,INVESTMENT MANAGERS,-1,1,50
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,INVESTMENT INTERNATIONAL,-1,0,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,MANAGERS INTERNATIONAL,-1,0,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS INVESTMENT MANAGERS,-1,1,20
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS INVESTMENT INTERNATIONAL,-1,0,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS MANAGERS INTERNATIONAL,-1,0,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,INVESTMENT MANAGERS INTERNATIONAL,-1,0,0
NATIXIS INVESTMENT MANAGERS INTERNATIONAL,NATIXIS INVESTMENT MANAGERS INTERNATIONAL,-1,0,0
VICAT,VICAT,1,7,5
VIRBAC FRANCE,VIRBAC,2,12,17
VIRBAC FRANCE,FRANCE,265,1,2877
VIRBAC FRANCE,VIRBAC FRANCE,-1,0,0
VIRBAC,VIRBAC,2,16,13
GROUPE LA FRANCAISE,GROUPE,58,2,7127
GROUPE LA FRANCAISE,FRANCAISE,9,5,668
GROUPE LA FRANCAISE,GROUPE FRANCAISE,-1,0,0
CGG,CGG,1,20,6
ALLERGAN FRANCE,ALLERGAN,1,1,2
ALLERGAN FRANCE,FRANCE,265,0,2878
ALLERGAN FRANCE,ALLERGAN FRANCE,-1,0,0
TEVA SANTE,TEVA,1,1,5
TEVA SANTE,SANTE,15,1,901
TEVA SANTE,TEVA SANTE,-1,0,0
ALTEN,ALTEN,1,16,4
MANUF FRANC PNEUMATIQ MICHELIN,MANUF,2,1,36
MANUF FRANC PNEUMATIQ MICHELIN,FRANC,278,3,4510
MANUF FRANC PNEUMATIQ MICHELIN,PNEUMATIQ,1,12,9
MANUF FRANC PNEUMATIQ MICHELIN,MICHELIN,1,22,9
MANUF FRANC PNEUMATIQ MICHELIN,MANUF FRANC,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,MANUF PNEUMATIQ,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,MANUF MICHELIN,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,FRANC PNEUMATIQ,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,FRANC MICHELIN,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,PNEUMATIQ MICHELIN,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,MANUF FRANC PNEUMATIQ,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,MANUF FRANC MICHELIN,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,MANUF PNEUMATIQ MICHELIN,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,FRANC PNEUMATIQ MICHELIN,-1,0,0
MANUF FRANC PNEUMATIQ MICHELIN,MANUF FRANC PNEUMATIQ MICHELIN,-1,0,0
SODEXO,SODEXO,2,27,10
ADA,ADA,3,4,817
EXFO SOLUTIONS,EXFO,1,1,0
EXFO SOLUTIONS,SOLUTIONS,19,2,1469
EXFO SOLUTIONS,EXFO SOLUTIONS,-1,0,0
VEOLIA ENVIRONNEMENT,VEOLIA,4,33,48
VEOLIA ENVIRONNEMENT,ENVIRONNEMENT,10,6,790
VEOLIA ENVIRONNEMENT,VEOLIA ENVIRONNEMENT,-1,2,0
CBO TERRITORIA,CBO,1,3,1
CBO TERRITORIA,TERRITORIA,1,3,50
CBO TERRITORIA,CBO TERRITORIA,-1,3,0
PUBLICIS GROUPE S.A.,PUBLICIS,3,24,17
PUBLICIS GROUPE S.A.,GROUPE,58,21,7108
PUBLICIS GROUPE S.A.,PUBLICIS GROUPE,-1,12,4
PEUGEOT SA,PEUGEOT,5,39,43
EURAZEO,EURAZEO,3,34,64
VALNEVA,VALNEVA,1,15,0
EMOSIS,EMOSIS,1,1,0
FONCIERE ATLAND,FONCIERE,11,13,177
FONCIERE ATLAND,ATLAND,4,13,13
FONCIERE ATLAND,FONCIERE ATLAND,-1,13,9
ORAPI,ORAPI,1,18,1
FUTUREN,FUTUREN,1,12,1
MCPHY ENERGY,MCPHY,1,17,0
MCPHY ENERGY,ENERGY,7,14,85
MCPHY ENERGY,MCPHY ENERGY,-1,11,0
PRODWARE SA,PRODWARE,1,18,2
ENVEA,ENVEA,1,2,1
HERIGE,HERIGE,1,6,1
THALES,THALES,4,75,52
LECTRA,LECTRA,1,24,5
WALLIX,WALLIX,2,15,2
INFOTEL,INFOTEL,1,15,1
VIEL ET COMPAGNIE,VIEL,1,11,9
VIEL ET COMPAGNIE,COMPAGNIE,19,2,277
VIEL ET COMPAGNIE,VIEL COMPAGNIE,-1,0,0
HIPAY GROUP,HIPAY,2,13,7
HIPAY GROUP,GROUP,123,8,7346
HIPAY GROUP,HIPAY GROUP,-1,6,4
LAFARGE,LAFARGE,3,27,26
CSN ENERGY,CSN,1,1,0
CSN ENERGY,ENERGY,7,1,98
CSN ENERGY,CSN ENERGY,-1,1,0
OFI ASSET MANAGEMENT,OFI,20,4,1211
