,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.28707060966842013
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.40359488026430934
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.3792661942703379
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.11997215172001557
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.264401329405473
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.11440132940547301
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.32770645151192107
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.1623674423469804
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.4
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.5169710881927919
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.3078665266217061
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.20358833775983864
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.21072932561570412
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.40360360360360364
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.13848919174434965
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.10533835444125425
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.40359488026430934
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.20359488026430933
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.6360360360360361
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.13685883179081573
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.4360360360360361
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.18047314131767683
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.23316622113455543
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.11205637006134238
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.2218304905856701
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.12695999970195354
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.09998691499105859
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.6252252252252253
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.330189487155715
