,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.48663251728196993
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.45450232366968096
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.5240958278468637
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.22861797866020778
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.3430147467657827
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.043014746765782666
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.4889836699350374
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.3027540227489073
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.1
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.729242772048198
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.5098495145383094
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.3170006880435633
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.4062859350075297
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.1045045045045045
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.2604105862243757
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.20795543359322752
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.45450232366968096
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.05450232366968094
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.545045045045045
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.24667350821138226
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.14504504504504506
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.3067736907348246
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.39286362735571095
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.10008616458740766
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.3648044694932644
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.23498246653002394
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.024996728747764648
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.5315315315315315
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.506871696113253
29,CARREFOUR,CARREFOUR,0.6666666666666666,0.35135135135135137,0.008885344166889943,0.4432308767590314
30,ILIAD,ILIAD,1.0,0.15315315315315314,0.029369430853424812,0.4795135196619191
31,CHARGEURS,CHARGEURS,0.75,0.1981981981981982,0.035672226756974,0.40266632177479655
32,BOURBON CORPORATION,BOURBON,1.0,0.16216216216216217,0.029369430853424812,0.4840180241664236
33,BOURBON CORPORATION,CORPORATION,0.75,0.0,0.004629484316128925,0.3004629484316129
34,BOURBON CORPORATION,BOURBON CORPORATION,0.0,0.0,1.0,0.1
35,ALTRAN TECHNOLOGIES,ALTRAN,1.0,0.32432432432432434,0.045412911335186386,0.5667034532956808
36,ALTRAN TECHNOLOGIES,TECHNOLOGIES,0.52,0.05405405405405406,0.0006074533664820227,0.23508777236367526
37,ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,0.0,0.009009009009009009,0.16663031941960715,0.02116753644646522
38,CREDIXIA,CREDIXIA,1.0,0.009009009009009009,1.0,0.5045045045045046
39,GAUMONT,GAUMONT,0.75,0.04504504504504504,0.08329335136156787,0.33085185765867936
40,FINANCIERE DE L'ECHIQUIER,FINANCIERE,0.5294117647058824,0.11711711711711711,0.0002677293859372058,0.27035003737950525
41,FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1.0,0.11711711711711711,0.031207746325293325,0.46167933319108795
42,FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,0.0,0.0,1.0,0.1
43,ERAAM,ERAAM,1.0,0.009009009009009009,0.24996728747764646,0.4295012332522692
44,IENA VENTURE,IENA,1.0,0.009009009009009009,0.08329335136156787,0.41283383964066134
45,IENA VENTURE,VENTURE,0.5454545454545454,0.009009009009009009,0.0020225891231493995,0.22288858159863761
46,IENA VENTURE,IENA VENTURE,0.0,0.009009009009009009,0.24996728747764646,0.02950123325226915
47,REALITES PROMOTION,REALITES,0.6666666666666666,0.10810810810810811,0.038419599330315954,0.3245626806537523
48,REALITES PROMOTION,PROMOTION,0.625,0.0,0.0020661799632257878,0.2502066179963226
49,REALITES PROMOTION,REALITES PROMOTION,0.0,0.0,1.0,0.1
50,DAMARTEX,DAMARTEX,1.0,0.16216216216216217,0.4999781916517643,0.5310789002462576
51,NEURONES,NEURONES,1.0,0.12612612612612611,0.24996728747764646,0.48805979181082776
52,ALTAREA,ALTAREA,1.0,0.07207207207207207,0.08329335136156787,0.4443653711721929
53,PSB INDUSTRIES,PSB,0.75,0.09009009009009009,0.09996074497317575,0.35504111954236267
54,PSB INDUSTRIES,INDUSTRIES,0.5555555555555556,0.09009009009009009,0.0028136507798042234,0.2675486323452477
55,PSB INDUSTRIES,PSB INDUSTRIES,0.0,0.09009009009009009,0.16663031941960715,0.061708076987005755
56,SOMFY SA,SOMFY,0.75,0.05405405405405406,0.029369430853424812,0.32996397011236955
57,MR BRICOLAGE,MR,0.75,0.06306306306306306,0.006623340748171735,0.3321938656063488
58,MR BRICOLAGE,BRICOLAGE,1.0,0.08108108108108109,0.016086119056697486,0.44214915244621034
59,MR BRICOLAGE,MR BRICOLAGE,0.0,0.036036036036036036,0.4999781916517643,0.06801583718319446
60,AIRBUS DEFENCE AND SPACE SAS,AIRBUS,0.625,0.02702702702702703,0.0050071086403794575,0.26401422437755145
