,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.7273190886179939
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.8008965392312537
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.7698132773153491
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.3721719459406147
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.5785970610991328
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.0535970610991329
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.4440334059361407
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.47397651396628293
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.2
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.5013426869535388
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.7332125425901324
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.5508932679790183
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.7044637619069511
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.2009009009009009
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.41383919046676937
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.35694069011282964
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.8008965392312537
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.10089653923125377
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.909009009009009
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.3618594312766427
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.209009009009009
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.39721855264082034
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.5485650925492597
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.03801016701265317
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.5492035335811232
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.3623461073377739
