,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.16062770582332672
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.5008834542223124
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.31979364980193703
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.05682434137270065
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.2785774335857208
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.20357743358572078
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.11667416428510335
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.07428443424351032
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.8
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.16251360495701228
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.17068800819836716
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.17587036921337096
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.11515234492510196
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.8009009009009009
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.0641405456508614
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.051784195679650466
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.5008834542223124
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.40088345422231236
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.909009009009009
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.05943508832344641
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.8090090090090091
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.07232015650922757
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.11520631614298471
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.09798661399655863
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.13667899918935816
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.05718964836321123
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.19997382998211718
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.9063063063063064
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.12614474007719578
29,CARREFOUR,CARREFOUR,0.6666666666666666,0.35135135135135137,0.008885344166889943,0.10891007713531375
30,ILIAD,ILIAD,1.0,0.15315315315315314,0.029369430853424812,0.13881085999805517
31,CHARGEURS,CHARGEURS,0.75,0.1981981981981982,0.035672226756974,0.12335760122539904
32,BOURBON CORPORATION,BOURBON,1.0,0.16216216216216217,0.029369430853424812,0.13971176089895607
33,BOURBON CORPORATION,CORPORATION,0.75,0.0,0.004629484316128925,0.07870358745290315
34,BOURBON CORPORATION,BOURBON CORPORATION,0.0,0.0,1.0,0.8
35,ALTRAN TECHNOLOGIES,ALTRAN,1.0,0.32432432432432434,0.045412911335186386,0.16876276150058156
36,ALTRAN TECHNOLOGIES,TECHNOLOGIES,0.52,0.05405405405405406,0.0006074533664820227,0.05789136809859103
37,ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,0.0,0.009009009009009009,0.16663031941960715,0.13420515643658662
38,CREDIXIA,CREDIXIA,1.0,0.009009009009009009,1.0,0.9009009009009009
39,GAUMONT,GAUMONT,0.75,0.04504504504504504,0.08329335136156787,0.14613918559375882
40,FINANCIERE DE L'ECHIQUIER,FINANCIERE,0.5294117647058824,0.11711711711711711,0.0002677293859372058,0.06486707169104973
41,FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1.0,0.11711711711711711,0.031207746325293325,0.13667790877194638
42,FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,0.0,0.0,1.0,0.8
43,ERAAM,ERAAM,1.0,0.009009009009009009,0.24996728747764646,0.3008747308830181
44,IENA VENTURE,IENA,1.0,0.009009009009009009,0.08329335136156787,0.16753558199015522
45,IENA VENTURE,VENTURE,0.5454545454545454,0.009009009009009009,0.0020225891231493995,0.05706442674487496
46,IENA VENTURE,IENA VENTURE,0.0,0.009009009009009009,0.24996728747764646,0.20087473088301808
