,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.4546381772359877
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.6017930784625075
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.5396265546306982
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.2180281024075452
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.40719412219826584
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.1071941221982658
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.33251125631672585
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.28128636126589934
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.4
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.4312568024785062
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.4664250851802647
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.35178653595803683
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.40892752381390235
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.4018018018018018
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.2443450476002055
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.20526069057048693
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.6017930784625075
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.20179307846250755
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.8180180180180181
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.21965382190287902
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.418018018018018
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.25277043861497417
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.34713018509851945
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.07602033402530634
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.3484070671622467
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.2160715250203754
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.09998691499105859
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.8126126126126126
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.36802732499355284
29,CARREFOUR,CARREFOUR,0.6666666666666666,0.35135135135135137,0.008885344166889943,0.34049107460369293
30,ILIAD,ILIAD,1.0,0.15315315315315314,0.029369430853424812,0.4423784029720006
31,CHARGEURS,CHARGEURS,0.75,0.1981981981981982,0.035672226756974,0.35390853034242925
32,BOURBON CORPORATION,BOURBON,1.0,0.16216216216216217,0.029369430853424812,0.4441802047738024
33,BOURBON CORPORATION,CORPORATION,0.75,0.0,0.004629484316128925,0.3018517937264516
34,BOURBON CORPORATION,BOURBON CORPORATION,0.0,0.0,1.0,0.4
35,ALTRAN TECHNOLOGIES,ALTRAN,1.0,0.32432432432432434,0.045412911335186386,0.48303002939893946
36,ALTRAN TECHNOLOGIES,TECHNOLOGIES,0.52,0.05405405405405406,0.0006074533664820227,0.21905379215740364
37,ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,0.0,0.009009009009009009,0.16663031941960715,0.06845392956964466
38,CREDIXIA,CREDIXIA,1.0,0.009009009009009009,1.0,0.8018018018018018
39,GAUMONT,GAUMONT,0.75,0.04504504504504504,0.08329335136156787,0.3423263495536362
40,FINANCIERE DE L'ECHIQUIER,FINANCIERE,0.5294117647058824,0.11711711711711711,0.0002677293859372058,0.23529522106015127
41,FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1.0,0.11711711711711711,0.031207746325293325,0.43590652195354074
42,FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,0.0,0.0,1.0,0.4
43,ERAAM,ERAAM,1.0,0.009009009009009009,0.24996728747764646,0.5017887167928604
44,IENA VENTURE,IENA,1.0,0.009009009009009009,0.08329335136156787,0.43511914234642896
45,IENA VENTURE,VENTURE,0.5454545454545454,0.009009009009009009,0.0020225891231493995,0.22079265563287975
46,IENA VENTURE,IENA VENTURE,0.0,0.009009009009009009,0.24996728747764646,0.10178871679286039
47,REALITES PROMOTION,REALITES,0.6666666666666666,0.10810810810810811,0.038419599330315954,0.30365612802041464
48,REALITES PROMOTION,PROMOTION,0.625,0.0,0.0020661799632257878,0.2508264719852903
49,REALITES PROMOTION,REALITES PROMOTION,0.0,0.0,1.0,0.4
50,DAMARTEX,DAMARTEX,1.0,0.16216216216216217,0.4999781916517643,0.6324237090931382
51,NEURONES,NEURONES,1.0,0.12612612612612611,0.24996728747764646,0.5252121402162838
52,ALTAREA,ALTAREA,1.0,0.07207207207207207,0.08329335136156787,0.4477317549590416
53,PSB INDUSTRIES,PSB,0.75,0.09009009009009009,0.09996074497317575,0.3580023160072884
54,PSB INDUSTRIES,INDUSTRIES,0.5555555555555556,0.09009009009009009,0.0028136507798042234,0.24136570055216194
