,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.4439733972206603
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.650889996726783
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.5448034635586431
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.21449814365665765
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.4285872473424269
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.12858724734242682
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.28035378511062203
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.2741304741048966
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.5
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.33192814595527553
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.45195027539424976
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.3633818185961947
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.40980805341602655
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.5009009009009009
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.23898986805881542
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.20436244289624006
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.650889996726783
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.2508899967267831
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.909009009009009
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.2106472598000446
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.509009009009009
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.23476935457502401
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.33188570434612225
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.06799839050460589
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.34294126638524075
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.20976787785049256
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.12498364373882323
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.9063063063063064
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.3217458679536528
29,CARREFOUR,CARREFOUR,0.6666666666666666,0.35135135135135137,0.008885344166889943,0.3062444738852468
30,ILIAD,ILIAD,1.0,0.15315315315315314,0.029369430853424812,0.43000003074202775
31,CHARGEURS,CHARGEURS,0.75,0.1981981981981982,0.035672226756974,0.3376559331983069
32,BOURBON CORPORATION,BOURBON,1.0,0.16216216216216217,0.029369430853424812,0.43090093164292864
33,BOURBON CORPORATION,CORPORATION,0.75,0.0,0.004629484316128925,0.30231474215806453
34,BOURBON CORPORATION,BOURBON CORPORATION,0.0,0.0,1.0,0.5
35,ALTRAN TECHNOLOGIES,ALTRAN,1.0,0.32432432432432434,0.045412911335186386,0.4551388881000257
36,ALTRAN TECHNOLOGIES,TECHNOLOGIES,0.52,0.05405405405405406,0.0006074533664820227,0.21370913208864645
37,ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,0.0,0.009009009009009009,0.16663031941960715,0.08421606061070448
38,CREDIXIA,CREDIXIA,1.0,0.009009009009009009,1.0,0.9009009009009009
39,GAUMONT,GAUMONT,0.75,0.04504504504504504,0.08329335136156787,0.3461511801852885
40,FINANCIERE DE L'ECHIQUIER,FINANCIERE,0.5294117647058824,0.11711711711711711,0.0002677293859372058,0.22361028228703328
41,FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1.0,0.11711711711711711,0.031207746325293325,0.4273155848743584
42,FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,0.0,0.0,1.0,0.5
43,ERAAM,ERAAM,1.0,0.009009009009009009,0.24996728747764646,0.5258845446397241
44,IENA VENTURE,IENA,1.0,0.009009009009009009,0.08329335136156787,0.44254757658168487
45,IENA VENTURE,VENTURE,0.5454545454545454,0.009009009009009009,0.0020225891231493995,0.22009401364429376
46,IENA VENTURE,IENA VENTURE,0.0,0.009009009009009009,0.24996728747764646,0.12588454463972412
47,REALITES PROMOTION,REALITES,0.6666666666666666,0.10810810810810811,0.038419599330315954,0.29668727714263543
48,REALITES PROMOTION,PROMOTION,0.625,0.0,0.0020661799632257878,0.2510330899816129
49,REALITES PROMOTION,REALITES PROMOTION,0.0,0.0,1.0,0.5
50,DAMARTEX,DAMARTEX,1.0,0.16216216216216217,0.4999781916517643,0.6662053120420984
51,NEURONES,NEURONES,1.0,0.12612612612612611,0.24996728747764646,0.5375962563514358
52,ALTAREA,ALTAREA,1.0,0.07207207207207207,0.08329335136156787,0.44885388288799116
53,PSB INDUSTRIES,PSB,0.75,0.09009009009009009,0.09996074497317575,0.35898938149559695
54,PSB INDUSTRIES,INDUSTRIES,0.5555555555555556,0.09009009009009009,0.0028136507798042234,0.23263805662113335
55,PSB INDUSTRIES,PSB INDUSTRIES,0.0,0.09009009009009009,0.16663031941960715,0.09232416871881259
56,SOMFY SA,SOMFY,0.75,0.05405405405405406,0.029369430853424812,0.32009012083211785
57,MR BRICOLAGE,MR,0.75,0.06306306306306306,0.006623340748171735,0.3096179766803922
58,MR BRICOLAGE,BRICOLAGE,1.0,0.08108108108108109,0.016086119056697486,0.4161511676364569
59,MR BRICOLAGE,MR BRICOLAGE,0.0,0.036036036036036036,0.4999781916517643,0.25359269942948576
60,AIRBUS DEFENCE AND SPACE SAS,AIRBUS,0.625,0.02702702702702703,0.0050071086403794575,0.2552062570228924
61,AIRBUS DEFENCE AND SPACE SAS,DEFENCE,1.0,0.018018018018018018,0.026273320585014682,0.4149384620943091
62,AIRBUS DEFENCE AND SPACE SAS,AND,0.5166666666666667,0.02702702702702703,5.5377920109116524e-05,0.20939705832942396
63,AIRBUS DEFENCE AND SPACE SAS,SPACE,0.55,0.02702702702702703,0.0018291241587654287,0.22361726478208543
64,AIRBUS DEFENCE AND SPACE SAS,SAS,0.5052083333333334,0.0,0.00291509222866608,0.2035408794476664
65,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE,0.0,0.018018018018018018,0.045412911335186386,0.024508257469394994
66,AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND,0.0,0.0,0.4999781916517643,0.24998909582588216
67,AIRBUS DEFENCE AND SPACE SAS,AIRBUS SPACE,0.0,0.0,1.0,0.5
68,AIRBUS DEFENCE AND SPACE SAS,AIRBUS SAS,0.0,0.0,1.0,0.5
69,AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND,0.0,0.009009009009009009,0.062459109347058055,0.03213045557442993
70,AIRBUS DEFENCE AND SPACE SAS,DEFENCE SPACE,0.0,0.0,1.0,0.5
71,AIRBUS DEFENCE AND SPACE SAS,DEFENCE SAS,0.0,0.0,1.0,0.5
72,AIRBUS DEFENCE AND SPACE SAS,AND SPACE,0.0,0.009009009009009009,0.04995856413835217,0.025880182970076986
73,AIRBUS DEFENCE AND SPACE SAS,AND SAS,0.0,0.0,0.08329335136156787,0.04164667568078394
74,AIRBUS DEFENCE AND SPACE SAS,SPACE SAS,0.0,0.0,1.0,0.5
75,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND,0.0,0.009009009009009009,0.08329335136156787,0.042547576581684836
76,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SPACE,0.0,0.0,1.0,0.5
77,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SAS,0.0,0.0,1.0,0.5
78,AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SPACE,0.0,0.0,1.0,0.5
79,AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SAS,0.0,0.0,0.4999781916517643,0.24998909582588216
80,AIRBUS DEFENCE AND SPACE SAS,AIRBUS SPACE SAS,0.0,0.0,1.0,0.5
81,AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SPACE,0.0,0.009009009009009009,0.062459109347058055,0.03213045557442993
82,AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SAS,0.0,0.0,1.0,0.5
