,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.3708543934522039
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.5026939793634084
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.45944637445051806
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.16900012706378037
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.3357977258018694
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.1107977258018694
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.33010885391432343
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.22182690180643982
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.4
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.474113945335649
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.38714580590098535
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.2776874368589377
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.3098284247148032
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.4027027027027027
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.19141711967227756
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.15529952250587056
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.5026939793634084
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.20269397936340844
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.727027027027027
