,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.2977353896837475
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.3544979620000338
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.37408928534239305
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.12350211047090309
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.24300820426131198
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.09300820426131196
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.3798639227180249
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.16952332950798302
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.3
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.6162997447160226
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.322341336407721
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.1919930551216808
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.20984879601357992
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.3045045045045045
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.1438443712857397
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.1062366021155011
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.3544979620000338
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.1544979620000338
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.545045045045045
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.14586539389365014
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.345045045045045
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.19847422535762702
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.2484107018869526
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.12007831358204281
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.227296291362676
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.1332636468718364
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.07499018624329394
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.5315315315315315
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.37647094419561505
29,CARREFOUR,CARREFOUR,0.6666666666666666,0.35135135135135137,0.008885344166889943,0.311674612259076
30,ILIAD,ILIAD,1.0,0.15315315315315314,0.029369430853424812,0.285387405832604
31,CHARGEURS,CHARGEURS,0.75,0.1981981981981982,0.035672226756974,0.2598007671261913
32,BOURBON CORPORATION,BOURBON,1.0,0.16216216216216217,0.029369430853424812,0.28989191033710854
33,BOURBON CORPORATION,CORPORATION,0.75,0.0,0.004629484316128925,0.1513888452948387
34,BOURBON CORPORATION,BOURBON CORPORATION,0.0,0.0,1.0,0.3
35,ALTRAN TECHNOLOGIES,ALTRAN,1.0,0.32432432432432434,0.045412911335186386,0.3757860355627181
36,ALTRAN TECHNOLOGIES,TECHNOLOGIES,0.52,0.05405405405405406,0.0006074533664820227,0.13120926303697164
37,ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,0.0,0.009009009009009009,0.16663031941960715,0.05449360033038665
38,CREDIXIA,CREDIXIA,1.0,0.009009009009009009,1.0,0.5045045045045045
39,GAUMONT,GAUMONT,0.75,0.04504504504504504,0.08329335136156787,0.19751052793099289
40,FINANCIERE DE L'ECHIQUIER,FINANCIERE,0.5294117647058824,0.11711711711711711,0.0002677293859372058,0.16452123031551621
41,FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1.0,0.11711711711711711,0.031207746325293325,0.2679208824561466
42,FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,0.0,0.0,1.0,0.3
43,ERAAM,ERAAM,1.0,0.009009009009009009,0.24996728747764646,0.2794946907477985
44,IENA VENTURE,IENA,1.0,0.009009009009009009,0.08329335136156787,0.22949250991297487
45,IENA VENTURE,VENTURE,0.5454545454545454,0.009009009009009009,0.0020225891231493995,0.1142021903323584
46,IENA VENTURE,IENA VENTURE,0.0,0.009009009009009009,0.24996728747764646,0.07949469074779844
47,REALITES PROMOTION,REALITES,0.6666666666666666,0.10810810810810811,0.038419599330315954,0.19891326718648217
48,REALITES PROMOTION,PROMOTION,0.625,0.0,0.0020661799632257878,0.12561985398896774
49,REALITES PROMOTION,REALITES PROMOTION,0.0,0.0,1.0,0.3
50,DAMARTEX,DAMARTEX,1.0,0.16216216216216217,0.4999781916517643,0.4310745385766104
51,NEURONES,NEURONES,1.0,0.12612612612612611,0.24996728747764646,0.338053249306357
52,ALTAREA,ALTAREA,1.0,0.07207207207207207,0.08329335136156787,0.2610240414445064
53,PSB INDUSTRIES,PSB,0.75,0.09009009009009009,0.09996074497317575,0.2250332685369978
54,PSB INDUSTRIES,INDUSTRIES,0.5555555555555556,0.09009009009009009,0.0028136507798042234,0.15700025139009743
55,PSB INDUSTRIES,PSB INDUSTRIES,0.0,0.09009009009009009,0.16663031941960715,0.09503414087092718
56,SOMFY SA,SOMFY,0.75,0.05405405405405406,0.029369430853424812,0.1858378562830545
57,MR BRICOLAGE,MR,0.75,0.06306306306306306,0.006623340748171735,0.1835185337559831
58,MR BRICOLAGE,BRICOLAGE,1.0,0.08108108108108109,0.016086119056697486,0.2453663762575498
59,MR BRICOLAGE,MR BRICOLAGE,0.0,0.036036036036036036,0.4999781916517643,0.1680114755135473
