,name,ngram,score_1,score_2,score_3,pertinence
0,IPSEN,IPSEN,1.0,0.16216216216216217,0.05551436200888811,0.2657410496377653
1,PEPTIMIMESIS,PEPTIMIMESIS,1.0,0.009009009009009009,0.4999781916517643,0.5017887167928604
2,MERSEN,MERSEN,1.0,0.1981981981981982,0.24996728747764646,0.38962001212622754
3,BANQUE PALATINE,BANQUE,0.5263157894736842,0.036036036036036036,0.0007364485271607838,0.11291223421824051
4,BANQUE PALATINE,PALATINE,0.75,0.036036036036036036,0.24996728747764646,0.3071875796937951
5,BANQUE PALATINE,BANQUE PALATINE,0.0,0.036036036036036036,0.24996728747764646,0.1571875796937951
6,SPIE OPERATIONS,SPIE,0.5555555555555556,0.5315315315315315,0.009956819470493304,0.22339150909971342
7,SPIE OPERATIONS,OPERATIONS,0.6666666666666666,0.07207207207207207,0.0005132004620455571,0.14805566802497508
8,SPIE OPERATIONS,SPIE OPERATIONS,0.0,0.0,1.0,0.6
9,ENGIE,ENGIE,0.5714285714285714,1.0,0.006713434767693939,0.31831377514633064
10,VALEO,VALEO,1.0,0.2072072072072072,0.062459109347058055,0.27891690704967625
11,MSD VACCINS,MSD,0.75,0.009009009009009009,0.12496183539058753,0.22677890303615433
12,MSD VACCINS,VACCINS,1.0,0.009009009009009009,0.017814305030251297,0.2124903848199526
13,MSD VACCINS,MSD VACCINS,0.0,0.009009009009009009,1.0,0.6018018018018018
14,IDI,IDI,0.5833333333333334,0.05405405405405406,0.0005022586401533021,0.1277788326615695
15,GROUPE WINNCARE,GROUPE,0.5086206896551724,0.009009009009009009,2.653226654040834e-05,0.10354185909276052
16,GROUPE WINNCARE,WINNCARE,1.0,0.009009009009009009,0.4999781916517643,0.5017887167928604
17,GROUPE WINNCARE,GROUPE WINNCARE,0.0,0.009009009009009009,0.4999781916517643,0.30178871679286035
18,HAULOTTE GROUP,HAULOTTE,1.0,0.09009009009009009,1.0,0.818018018018018
19,HAULOTTE GROUP,GROUP,0.5040650406504065,0.09009009009009009,2.4469061745943115e-05,0.11884570758514688
20,HAULOTTE GROUP,HAULOTTE GROUP,0.0,0.09009009009009009,1.0,0.618018018018018
21,GL EVENTS,GL,0.5416666666666666,0.18018018018018017,0.00016933978067860597,0.14447097323777652
22,GL EVENTS,EVENTS,0.75,0.18018018018018017,0.027735372656208353,0.20267725962976108
23,GL EVENTS,GL EVENTS,0.0,0.18018018018018017,0.09996074497317575,0.09601248301994147
24,SAFT GROUPE SA,SAFT,0.75,0.11711711711711711,0.062459109347058055,0.2108988890316583
25,SAFT GROUPE SA,GROUPE,0.5086206896551724,0.06306306306306306,2.6591364234605317e-05,0.11435270536218785
26,SAFT GROUPE SA,SAFT GROUPE,0.0,0.0,0.24996728747764646,0.14998037248658788
27,TRANSGENE,TRANSGENE,1.0,0.06306306306306306,1.0,0.8126126126126126
28,SANOFI,SANOFI,0.6666666666666666,0.4774774774774775,0.0146629070784767,0.23762657307591484
29,CARREFOUR,CARREFOUR,0.6666666666666666,0.35135135135135137,0.008885344166889943,0.20893481010373757
30,ILIAD,ILIAD,1.0,0.15315315315315314,0.029369430853424812,0.24825228914268552
31,CHARGEURS,CHARGEURS,0.75,0.1981981981981982,0.035672226756974,0.21104297569382408
32,BOURBON CORPORATION,BOURBON,1.0,0.16216216216216217,0.029369430853424812,0.25005409094448733
33,BOURBON CORPORATION,CORPORATION,0.75,0.0,0.004629484316128925,0.15277769058967738
34,BOURBON CORPORATION,BOURBON CORPORATION,0.0,0.0,1.0,0.6
35,ALTRAN TECHNOLOGIES,ALTRAN,1.0,0.32432432432432434,0.045412911335186386,0.2921126116659767
36,ALTRAN TECHNOLOGIES,TECHNOLOGIES,0.52,0.05405405405405406,0.0006074533664820227,0.11517528283070004
37,ALTRAN TECHNOLOGIES,ALTRAN TECHNOLOGIES,0.0,0.009009009009009009,0.16663031941960715,0.10177999345356609
38,CREDIXIA,CREDIXIA,1.0,0.009009009009009009,1.0,0.8018018018018018
39,GAUMONT,GAUMONT,0.75,0.04504504504504504,0.08329335136156787,0.20898501982594975
40,FINANCIERE DE L'ECHIQUIER,FINANCIERE,0.5294117647058824,0.11711711711711711,0.0002677293859372058,0.12946641399616224
41,FINANCIERE DE L'ECHIQUIER,ECHIQUIER,1.0,0.11711711711711711,0.031207746325293325,0.24214807121859944
42,FINANCIERE DE L'ECHIQUIER,FINANCIERE ECHIQUIER,0.0,0.0,1.0,0.6
43,ERAAM,ERAAM,1.0,0.009009009009009009,0.24996728747764646,0.3517821742883897
44,IENA VENTURE,IENA,1.0,0.009009009009009009,0.08329335136156787,0.25177781261874255
45,IENA VENTURE,VENTURE,0.5454545454545454,0.009009009009009009,0.0020225891231493995,0.11210626436660052
46,IENA VENTURE,IENA VENTURE,0.0,0.009009009009009009,0.24996728747764646,0.1517821742883897
47,REALITES PROMOTION,REALITES,0.6666666666666666,0.10810810810810811,0.038419599330315954,0.17800671455314454
48,REALITES PROMOTION,PROMOTION,0.625,0.0,0.0020661799632257878,0.12623970797793546
49,REALITES PROMOTION,REALITES PROMOTION,0.0,0.0,1.0,0.6
50,DAMARTEX,DAMARTEX,1.0,0.16216216216216217,0.4999781916517643,0.5324193474234911
51,NEURONES,NEURONES,1.0,0.12612612612612611,0.24996728747764646,0.3752055977118131
52,ALTAREA,ALTAREA,1.0,0.07207207207207207,0.08329335136156787,0.26439042523135514
53,PSB INDUSTRIES,PSB,0.75,0.09009009009009009,0.09996074497317575,0.2279944650019235
54,PSB INDUSTRIES,INDUSTRIES,0.5555555555555556,0.09009009009009009,0.0028136507798042234,0.13081731959701168
55,PSB INDUSTRIES,PSB INDUSTRIES,0.0,0.09009009009009009,0.16663031941960715,0.1179962096697823
56,SOMFY SA,SOMFY,0.75,0.05405405405405406,0.029369430853424812,0.17843246932286572
57,MR BRICOLAGE,MR,0.75,0.06306306306306306,0.006623340748171735,0.16658661706151567
58,MR BRICOLAGE,BRICOLAGE,1.0,0.08108108108108109,0.016086119056697486,0.22586788765023472
59,MR BRICOLAGE,MR BRICOLAGE,0.0,0.036036036036036036,0.4999781916517643,0.30719412219826575
60,AIRBUS DEFENCE AND SPACE SAS,AIRBUS,0.625,0.02702702702702703,0.0050071086403794575,0.13340967058963307
61,AIRBUS DEFENCE AND SPACE SAS,DEFENCE,1.0,0.018018018018018018,0.026273320585014682,0.21936759595461242
62,AIRBUS DEFENCE AND SPACE SAS,AND,0.5166666666666667,0.02702702702702703,5.5377920109116524e-05,0.10877196549080423
63,AIRBUS DEFENCE AND SPACE SAS,SPACE,0.55,0.02702702702702703,0.0018291241587654287,0.11650287990066467
64,AIRBUS DEFENCE AND SPACE SAS,SAS,0.5052083333333334,0.0,0.00291509222866608,0.10279072200386632
65,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE,0.0,0.018018018018018018,0.045412911335186386,0.030851350404715434
66,AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND,0.0,0.0,0.4999781916517643,0.29998691499105856
67,AIRBUS DEFENCE AND SPACE SAS,AIRBUS SPACE,0.0,0.0,1.0,0.6
68,AIRBUS DEFENCE AND SPACE SAS,AIRBUS SAS,0.0,0.0,1.0,0.6
69,AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND,0.0,0.009009009009009009,0.062459109347058055,0.039277267410036634
70,AIRBUS DEFENCE AND SPACE SAS,DEFENCE SPACE,0.0,0.0,1.0,0.6
71,AIRBUS DEFENCE AND SPACE SAS,DEFENCE SAS,0.0,0.0,1.0,0.6
72,AIRBUS DEFENCE AND SPACE SAS,AND SPACE,0.0,0.009009009009009009,0.04995856413835217,0.0317769402848131
73,AIRBUS DEFENCE AND SPACE SAS,AND SAS,0.0,0.0,0.08329335136156787,0.049976010816940725
74,AIRBUS DEFENCE AND SPACE SAS,SPACE SAS,0.0,0.0,1.0,0.6
75,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND,0.0,0.009009009009009009,0.08329335136156787,0.05177781261874253
76,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SPACE,0.0,0.0,1.0,0.6
77,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SAS,0.0,0.0,1.0,0.6
78,AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SPACE,0.0,0.0,1.0,0.6
79,AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SAS,0.0,0.0,0.4999781916517643,0.29998691499105856
80,AIRBUS DEFENCE AND SPACE SAS,AIRBUS SPACE SAS,0.0,0.0,1.0,0.6
81,AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SPACE,0.0,0.009009009009009009,0.062459109347058055,0.039277267410036634
82,AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SAS,0.0,0.0,1.0,0.6
83,AIRBUS DEFENCE AND SPACE SAS,DEFENCE SPACE SAS,0.0,0.0,1.0,0.6
84,AIRBUS DEFENCE AND SPACE SAS,AND SPACE SAS,0.0,0.0,1.0,0.6
85,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND SPACE,0.0,0.009009009009009009,0.08329335136156787,0.05177781261874253
86,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND SAS,0.0,0.0,1.0,0.6
87,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE SPACE SAS,0.0,0.0,1.0,0.6
88,AIRBUS DEFENCE AND SPACE SAS,AIRBUS AND SPACE SAS,0.0,0.0,1.0,0.6
89,AIRBUS DEFENCE AND SPACE SAS,DEFENCE AND SPACE SAS,0.0,0.0,1.0,0.6
90,AIRBUS DEFENCE AND SPACE SAS,AIRBUS DEFENCE AND SPACE SAS,0.0,0.0,1.0,0.6
91,RUBIS,RUBIS,1.0,0.18018018018018017,0.24996728747764646,0.3860164085226239
92,GROUPE ACTIPLAY,GROUPE,0.5086206896551724,0.07207207207207207,2.660122353255588e-05,0.11615451307956844
93,GROUPE ACTIPLAY,ACTIPLAY,1.0,0.04504504504504504,1.0,0.809009009009009
94,GROUPE ACTIPLAY,GROUPE ACTIPLAY,0.0,0.036036036036036036,1.0,0.6072072072072072
95,1000MERCIS,MERCIS,1.0,0.0990990990990991,1.0,0.8198198198198198
96,EULER HERMES GROUP,EULER,1.0,0.16216216216216217,0.16663031941960715,0.33241062408419675
97,EULER HERMES GROUP,HERMES,0.6666666666666666,0.16216216216216217,0.01384587797986847,0.17407329255368684
98,EULER HERMES GROUP,GROUP,0.5040650406504065,0.10810810810810811,2.4487608670001226e-05,0.12244932231690493
99,EULER HERMES GROUP,EULER HERMES,0.0,0.16216216216216217,0.16663031941960715,0.13241062408419674
100,EULER HERMES GROUP,EULER GROUP,0.0,0.0,1.0,0.6
101,EULER HERMES GROUP,HERMES GROUP,0.0,0.009009009009009009,0.4999781916517643,0.30178871679286035
102,EULER HERMES GROUP,EULER HERMES GROUP,0.0,0.009009009009009009,0.4999781916517643,0.30178871679286035
103,LAGARDERE SCA,LAGARDERE,0.6,0.11711711711711711,0.015108559314081189,0.15248855901187214
104,LAGARDERE SCA,SCA,0.5333333333333333,0.009009009009009009,0.0007589865272015213,0.10892386038478938
105,LAGARDERE SCA,LAGARDERE SCA,0.0,0.009009009009009009,1.0,0.6018018018018018
106,CREDIT AGRICOLE SA,CREDIT,0.5217391304347826,0.23423423423423423,0.0005632058864754787,0.15153259646568865
107,CREDIT AGRICOLE SA,AGRICOLE,0.5454545454545454,0.23423423423423423,0.0021591225473534177,0.157233229466168
108,CREDIT AGRICOLE SA,CREDIT AGRICOLE,0.0,0.23423423423423423,0.0031412355860014297,0.0487315881984477
109,"CASINO, GUICHARD-PERRACHON",CASINO,0.6666666666666666,0.2972972972972973,0.00872869573069062,0.19803001023120717
110,"CASINO, GUICHARD-PERRACHON",GUICHARD,1.0,0.0,0.4999781916517643,0.4999869149910586
111,"CASINO, GUICHARD-PERRACHON",PERRACHON,1.0,0.0,1.0,0.8
112,"CASINO, GUICHARD-PERRACHON",CASINO GUICHARD,0.0,0.0,1.0,0.6
113,"CASINO, GUICHARD-PERRACHON",CASINO PERRACHON,0.0,0.0,1.0,0.6
114,"CASINO, GUICHARD-PERRACHON",GUICHARD PERRACHON,0.0,0.0,1.0,0.6
115,"CASINO, GUICHARD-PERRACHON",CASINO GUICHARD PERRACHON,0.0,0.0,1.0,0.6
116,SAMSE,SAMSE,1.0,0.06306306306306306,0.12496183539058753,0.28758971384696513
117,ARGOS WITYU,ARGOS,1.0,0.018018018018018018,0.09996074497317575,0.26358005058750905
118,ARGOS WITYU,WITYU,1.0,0.0,1.0,0.8
119,ARGOS WITYU,ARGOS WITYU,0.0,0.0,1.0,0.6
